,0
588,3.152
589,3.152
590,3.152
591,3.152
592,3.152
593,3.152
594,3.152
595,3.152
596,3.152
597,3.152
598,3.152
599,3.152
600,3.152
601,3.152
602,3.152
603,3.152
604,3.152
605,3.152
606,3.152
607,3.152
608,3.152
609,3.152
610,3.156
611,3.156
612,3.156
613,3.156
614,3.156
615,3.156
616,3.156
617,3.156
618,3.156
619,3.156
620,3.156
621,3.156
622,3.156
623,3.156
624,3.156
625,3.156
626,3.156
627,3.156
628,3.156
629,3.156
630,3.156
631,3.156
632,3.156
633,3.156
634,3.156
635,3.16
636,3.16
637,3.16
638,3.16
639,3.16
640,3.16
641,3.16
642,3.16
643,3.16
644,3.16
645,3.16
646,3.16
647,3.16
648,3.16
649,3.16
650,3.16
651,3.16
652,3.16
653,3.16
654,3.16
655,3.16
656,3.16
657,3.16
658,3.16
659,3.16
660,3.16
661,3.16
662,3.16
663,3.16
664,3.16
665,3.16
666,3.164
667,3.164
668,3.164
669,3.164
670,3.164
671,3.164
672,3.164
673,3.164
674,3.164
675,3.164
676,3.164
677,3.164
678,3.164
679,3.164
680,3.164
681,3.164
682,3.164
683,3.164
684,3.164
685,3.164
686,3.164
687,3.164
688,3.164
689,3.164
690,3.164
691,3.164
692,3.164
693,3.168
694,3.168
695,3.168
696,3.168
697,3.168
698,3.168
699,3.168
700,3.168
701,3.168
702,3.168
703,3.168
704,3.168
705,3.168
706,3.168
707,3.168
708,3.168
709,3.168
710,3.168
711,3.168
712,3.168
713,3.168
714,3.168
715,3.168
716,3.168
717,3.168
718,3.168
719,3.172
720,3.172
721,3.172
722,3.172
723,3.172
724,3.172
725,3.172
726,3.172
727,3.172
728,3.172
729,3.172
730,3.172
731,3.172
732,3.172
733,3.172
734,3.172
735,3.172
736,3.172
737,3.172
738,3.172
739,3.172
740,3.172
741,3.172
742,3.172
743,3.172
744,3.172
745,3.172
746,3.172
747,3.172
748,3.172
749,3.176
750,3.176
751,3.176
752,3.176
753,3.176
754,3.176
755,3.176
756,3.176
757,3.176
758,3.176
759,3.176
760,3.176
761,3.176
762,3.176
763,3.176
764,3.176
765,3.176
766,3.176
767,3.176
768,3.18
769,3.18
770,3.18
771,3.18
772,3.18
773,3.18
774,3.18
775,3.18
776,3.18
777,3.18
778,3.18
779,3.18
780,3.18
781,3.18
782,3.18
783,3.18
784,3.18
785,3.18
786,3.18
787,3.18
788,3.18
789,3.18
790,3.184
791,3.184
792,3.184
793,3.184
794,3.184
795,3.184
796,3.184
797,3.184
798,3.184
799,3.184
800,3.184
801,3.184
802,3.184
803,3.184
804,3.184
