,0
575,3.152
576,3.152
577,3.152
578,3.152
579,3.152
580,3.152
581,3.152
582,3.152
583,3.152
584,3.152
585,3.152
586,3.152
587,3.152
588,3.152
589,3.152
590,3.152
591,3.152
592,3.152
593,3.152
594,3.152
595,3.152
596,3.152
597,3.152
598,3.156
599,3.156
600,3.156
601,3.156
602,3.156
603,3.156
604,3.156
605,3.156
606,3.156
607,3.156
608,3.156
609,3.156
610,3.156
611,3.156
612,3.156
613,3.156
614,3.156
615,3.156
616,3.156
617,3.156
618,3.156
619,3.156
620,3.156
621,3.156
622,3.156
623,3.16
624,3.16
625,3.16
626,3.16
627,3.16
628,3.16
629,3.16
630,3.16
631,3.16
632,3.16
633,3.16
634,3.16
635,3.16
636,3.16
637,3.16
638,3.16
639,3.16
640,3.16
641,3.16
642,3.16
643,3.16
644,3.16
645,3.16
646,3.16
647,3.164
648,3.164
649,3.164
650,3.164
651,3.164
652,3.164
653,3.164
654,3.164
655,3.164
656,3.164
657,3.164
658,3.164
659,3.164
660,3.164
661,3.164
662,3.164
663,3.164
664,3.164
665,3.164
666,3.164
667,3.164
668,3.164
669,3.164
670,3.164
671,3.168
672,3.168
673,3.168
674,3.168
675,3.168
676,3.168
677,3.168
678,3.168
679,3.168
680,3.168
681,3.168
682,3.168
683,3.168
684,3.168
685,3.168
686,3.168
687,3.168
688,3.168
689,3.168
690,3.168
691,3.168
692,3.168
693,3.168
694,3.168
695,3.168
696,3.168
697,3.168
698,3.168
699,3.168
700,3.168
701,3.172
702,3.172
703,3.172
704,3.172
705,3.172
706,3.172
707,3.172
708,3.172
709,3.172
710,3.172
711,3.172
712,3.172
713,3.172
714,3.172
715,3.172
716,3.172
717,3.172
718,3.172
719,3.172
720,3.172
721,3.172
722,3.172
723,3.172
724,3.172
725,3.172
726,3.172
727,3.172
728,3.172
729,3.172
730,3.172
731,3.172
732,3.172
733,3.172
734,3.172
735,3.172
736,3.172
737,3.176
738,3.176
739,3.176
740,3.176
741,3.176
742,3.176
743,3.176
744,3.176
745,3.176
746,3.176
747,3.176
748,3.176
749,3.176
750,3.176
751,3.176
752,3.176
753,3.176
754,3.176
755,3.176
756,3.176
757,3.176
758,3.176
759,3.176
760,3.18
761,3.18
762,3.18
763,3.18
764,3.18
765,3.18
