pi-val,count,,,mean(xi),3.1350097565854,,,,,
Xi,Fi,XiFi,Xi-X’,(Xi-X’)^2,Fi*(Xi-X’)^2,,,fi,xi,normal
3.12046783625731,28,87.3730994152047,-0.01454192031123,0.000211467446338,0.005921088497468,0.000124829545655,,36,3.142428786,399.8942039
3.12048192771084,113,352.614457831325,-0.0145278288577,0.000211057811319,0.023849532679004,0.000124867269821,,34,3.142437592,407.2515718
3.12049689440994,30,93.6149068322982,-0.0145128621586,0.000210623168035,0.006318695041036,0.000124776504408,,34,3.142446043,414.3342652
3.12050739957717,80,249.640591966174,-0.01450235699137,0.000210318358305,0.016825468664411,0.000124796678653,,36,3.142454161,421.1542848
3.12052117263844,39,121.700325732899,-0.0144885839301,0.0002099190643,0.008186843507682,0.000124731755123,,36,3.142461964,427.7231937
3.1205298013245,28,87.374834437086,-0.01447995524404,0.000209669103869,0.005870734908343,0.000124690487129,,28,3.142469471,434.0521045
3.12053571428571,34,106.098214285714,-0.01447404228283,0.000209497900005,0.007122928600175,0.000124670160888,,35,3.142476698,440.1516735
3.12056737588652,324,1011.06382978723,-0.01444238068202,0.000208582359764,0.06758068456366,0.000124482600337,,46,3.14248366,446.0321014
3.12059765208111,21,65.5325506937033,-0.01441210448743,0.000207708755757,0.004361883870889,0.000124597900187,,34,3.142490372,451.7031383
3.12060301507538,37,115.462311557789,-0.01440674149316,0.000207554200451,0.007679505416677,0.000124590423746,,34,3.142496847,457.1740925
3.1206106870229,29,90.4977099236641,-0.01439906954564,0.00020733320378,0.006012662909625,0.000124552763633,,28,3.142503098,462.4538415
3.12062256809339,35,109.221789883269,-0.01438718847515,0.000206991192219,0.007244691727682,0.000124532315314,,37,3.142509135,467.5508451
3.1206313416009,39,121.704622322435,-0.01437841496764,0.000206738816982,0.008062813862285,0.000124509142419,,32,3.14251497,472.47316
3.12064343163539,82,255.892761394102,-0.01436632493315,0.000206391292085,0.016924085950958,0.000124519546776,,30,3.142520612,477.2284547
3.12065439672802,22,68.6543967280164,-0.01435535984052,0.000206076356151,0.004533679835318,0.000124432066836,,31,3.142526072,481.8240259
3.12066115702479,45,140.429752066116,-0.01434859954375,0.000205882308867,0.00926470389901,0.000124432166617,,34,3.142531357,486.266814
3.12066905615293,35,109.223416965353,-0.01434070041561,0.00020565568841,0.00719794909436,0.000124392883776,,29,3.142536476,490.5634191
3.12068965517241,193,602.293103448275,-0.01432010139613,0.000205065303995,0.03957760367112,0.000124403303346,,30,3.142541436,494.7201171
3.12071156289708,27,84.2592121982212,-0.01429819367146,0.000204438342267,0.005519835241198,0.000124327169194,,32,3.142546246,498.7428751
3.12072072072072,58,181.001801801802,-0.01428903584782,0.00020417654546,0.011842239636697,0.000124333548522,,35,3.142550911,502.6373665
3.12072892938497,34,106.104783599089,-0.01428082718357,0.000203942025047,0.006934028851598,0.000124280087288,,23,3.142555438,506.4089856
3.12074303405573,128,399.455108359133,-0.01426672251281,0.000203539371258,0.026053039520963,0.000124312445951,,28,3.142559834,510.0628619
3.12075983717775,35,109.226594301221,-0.01424991939079,0.000203060202644,0.007107107092541,0.000124225443933,,29,3.142564103,513.6038733
3.1207729468599,77,240.299516908212,-0.01423680970864,0.00020268675068,0.015606879802362,0.000124237076512,,24,3.142568251,517.0366597
3.12078346028292,34,106.106637649619,-0.01422629628562,0.000202387506006,0.006881175204212,0.000124168353565,,3878,3.142857143,709.2655254
3.12079207920792,43,134.194059405941,-0.01421767736062,0.000202142349531,0.008692121029819,0.000124150768171,,20,3.143143143,727.8610722
3.12080536912752,39,121.711409395973,-0.01420438744102,0.000201764622575,0.00786882028041,0.000124118315075,,17,3.143147208,726.6314078
